ID,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
1110,999,999,999,999,999,999,999,999,999,999,1,1,1,1,1,1,1
1115,999,999,999,999,999,999,999,999,999,999,1,1,1,5,5,5,5
1116,999,999,999,999,999,999,999,999,999,999,1,1,1,5,5,5,5
1118,999,999,999,999,999,999,999,999,999,999,1,1,1,1,1,1,1
1119,999,999,999,999,999,999,999,999,999,999,1,1,1,1,1,1,1
1124,999,999,999,999,999,999,999,999,999,999,1,1,1,1,1,1,1
1125,999,999,999,999,999,999,999,999,999,999,1,1,1,1,1,5,1
1132,999,999,999,999,999,999,999,999,999,999,1,1,1,1,1,1,1
1135,999,999,999,999,999,999,999,999,999,999,1,1,1,5,5,5,5
1138,999,999,999,999,999,999,999,999,999,999,1,1,1,5,5,5,5
1142,999,999,999,999,999,999,999,999,999,999,1,1,1,1,4,5,5
1143,999,999,999,999,999,999,999,999,999,999,1,1,1,1,1,5,5
1145,999,999,999,999,999,999,999,999,999,999,1,1,1,1,1,1,1
1146,999,999,999,999,999,999,999,999,999,999,1,1,1,5,5,5,5
1147,999,999,999,999,999,999,999,999,999,999,1,1,1,5,5,5,5
1148,999,999,999,999,999,999,999,999,999,999,1,1,1,1,1,1,1
1151,999,999,999,999,999,999,999,999,999,999,1,1,1,5,5,5,5
1152,999,999,999,999,999,999,999,999,999,999,1,1,5,5,5,5,5
1154,999,999,999,999,999,999,999,999,999,999,1,1,1,1,1,1,1
1156,999,999,999,999,999,999,999,999,999,999,1,1,1,4,5,5,5
1160,999,999,999,999,999,999,999,999,999,999,1,1,1,1,1,1,1
1161,999,999,999,999,999,999,999,999,999,999,999,1,1,1,1,1,1
1163,999,999,999,999,999,999,999,999,999,999,999,1,1,1,1,1,1
1165,999,999,999,999,999,999,999,999,999,999,999,1,1,1,4,5,5
1166,999,999,999,999,999,999,999,999,999,999,999,1,1,3,5,5,5
1167,999,999,999,999,999,999,999,999,999,999,999,1,1,1,1,1,1
1169,999,999,999,999,999,999,999,999,999,999,999,1,1,5,5,5,5
1170,999,999,999,999,999,999,999,999,999,999,999,1,1,1,1,1,5
1171,999,999,999,999,999,999,999,999,999,999,999,1,1,5,5,5,5
1176,999,999,999,999,999,999,999,999,999,999,999,1,1,1,1,1,1
1180,999,999,999,999,999,999,999,999,999,999,999,1,1,5,5,5,5
1182,999,999,999,999,999,999,999,999,999,999,999,1,1,1,1,1,1
1183,999,999,999,999,999,999,999,999,999,999,999,1,1,5,5,5,5
1190,999,999,999,999,999,999,999,999,999,999,999,1,1,1,1,1,1
1193,999,999,999,999,999,999,999,999,999,999,999,1,1,1,1,1,1
1201,999,999,999,999,999,999,999,999,999,999,999,1,1,1,1,1,1
1206,999,999,999,999,999,999,999,999,999,999,999,1,1,1,1,1,1
1211,999,999,999,999,999,999,999,999,999,999,999,1,1,1,1,1,1
1221,999,999,999,999,999,999,999,999,999,999,999,999,1,1,1,1,1
1229,999,999,999,999,999,999,999,999,999,999,999,999,1,1,1,1,1
1231,999,999,999,999,999,999,999,999,999,999,999,999,1,1,1,1,1
1232,999,999,999,999,999,999,999,999,999,999,999,999,1,1,1,1,1
1233,999,999,999,999,999,999,999,999,999,999,999,999,1,1,1,3,5
1234,999,999,999,999,999,999,999,999,999,999,999,999,1,1,1,1,1
1238,999,999,999,999,999,999,999,999,999,999,999,999,1,1,1,1,5
1243,999,999,999,999,999,999,999,999,999,999,999,999,1,1,1,1,1
1244,999,999,999,999,999,999,999,999,999,999,999,999,1,1,1,1,1
